"Open","High","Low","Close","Contact","Open.Int","Rtn..1.Day","Rtn..1.Day.1","Rtn..2.Day","Date","Rtn..1.Day.Table","X","X.1","X.2","X.3","sma20","ema14","dn","mavg","up","pctB","rsi14","macd","signal"
1269,1269,1242,1243,484,296000,"-2.28%","-2.38%","0.43%","11/10/2000","","","","","",1199.4125,1230.74423538557,1114.39776671806,1199.4125,1284.42723328194,0.7563526245236,51.7910724785198,1.46294524680088,-1.59859775636647
1230.05,1254,1208,1213.4,1244,446400,"-2.38%","2.88%","2.98%","11/13/2000","","","","","",1200.83,1228.4316706675,1115.87506253313,1200.83,1285.78493746687,0.573980396989298,45.4703743106271,1.84275550236057,-0.917386015715197
1219,1253,1217.5,1248.35,826,439600,"2.88%","0.10%","-0.94%","11/14/2000","","","","","",1205.0275,1231.08744791183,1119.39417427339,1205.0275,1290.66082572661,0.752953506315456,52.7957718863868,2.34092327219215,-0.226784230693783
1259.8,1273,1248,1249.6,752,479200,"0.10%","-1.04%","-0.78%","11/15/2000","","","","","",1210.4625,1233.55578819025,1128.06235512755,1210.4625,1292.86264487245,0.737484412561314,53.0387604043778,2.84279280718005,0.457198772633737
1266,1266,1233,1236.6,422,479200,"-1.04%","0.26%","0.35%","11/16/2000","","","","","",1213.8525,1233.96168309822,1133.02369031558,1213.8525,1294.68130968442,0.640714060301107,50.147594711891,3.13710034295831,1.07579213429439
1227.5,1242,1222,1239.85,552,498400,"0.26%","0.09%","-0.08%","11/17/2000","","","","","",1218.9025,1234.74679201846,1145.13675269815,1218.9025,1292.66824730185,0.64198663177832,50.8686409019185,3.27571894424465,1.64379395264502
1237,1243.5,1236,1240.95,344,504400,"0.09%","-0.17%","-1.44%","11/20/2000","","","","","",1223.705,1235.573886416,1157.74232949615,1223.705,1289.66767050385,0.630717873217341,51.1263004209811,3.16097441936956,2.10117712461484
1230.1,1239.9,1228,1238.85,296,502400,"-0.17%","-1.27%","-1.76%","11/21/2000","","","","","",1227.995,1236.01070156053,1170.3330029829,1227.995,1285.6569970171,0.594126119121238,50.5809375319711,2.91405048489395,2.42991111486106
1246,1246,1220,1223.1,298,503200,"-1.27%","-0.49%","0.32%","11/22/2000","","","","","",1230.0075,1234.28927468579,1176.10125476812,1230.0075,1283.91374523188,0.435930429115526,46.5687455983371,2.56748970540819,2.61608341393426
1225,1227,1215,1217.05,510,496800,"-0.49%","0.82%","3.11%","11/23/2000","","","","","",1231.07,1231.99070472769,1179.09965845792,1231.07,1283.04034154208,0.36511537557773,45.089204944295,2.06774738061075,2.68328365102424
